period,calendar_month,year,retail_demand,phase,event_label,event_note
1,January,2025,37200,baseline,Makar Sankranti,Minor festive uplift at start of calendar year; modestly above annual 2025 baseline
2,February,2025,36200,baseline,Union Budget,Budget announcement period; slight sentiment uplift but demand broadly flat
3,March,2025,43500,baseline,FY-end peak,Highest demand month of the year; OEM and dealer push to close Indian fiscal year (Apr-Mar)
4,April,2025,36200,baseline,Wedding season onset,Post-FY-end dip; mild wedding-season elevation relative to the monsoon trough that follows
5,May,2025,37200,baseline,Wedding season (muted),Wedding season expected elevation; real 2025 data showed flat YoY — modelled with modest lift as the flatness was a one-year anomaly
6,June,2025,34300,baseline,Monsoon dip,Start of three-month monsoon trough; consumers defer big-ticket purchases during wet season
7,July,2025,33700,baseline,Monsoon dip (trough),Lowest demand month of the year; monsoon at peak intensity
8,August,2025,35100,baseline,Monsoon dip (exit),Late monsoon; partial recovery toward pre-festive build — still below annual mean
9,September,2025,37200,baseline,Pre-festive build,Inventory build-up ahead of festive season; demand returns to baseline level
10,October,2025,40400,festive,Navratri / Dasara,First festive peak; auspicious buying window drives elevated retail demand
11,November,2025,41600,festive,Diwali,Highest festive-period month; largest single-month demand spike in the series (cycle 1)
12,December,2025,37700,baseline,Year-end / post-Diwali,Year-end push from dealers; elevated vs 2025 non-festive months but below festive peak
13,January,2026,39000,baseline,Makar Sankranti,Same seasonal driver as Jan 2025; demand reflects +5% YoY growth applied to 2026 base
14,February,2026,38000,baseline,Union Budget,Budget period; +5% YoY growth relative to Feb 2025
15,March,2026,45600,baseline,FY-end peak,Structural annual maximum; +5% YoY growth applied to FY-end peak baseline
16,April,2026,38000,baseline,Wedding season onset,Post-FY-end dip; mirrors April 2025 pattern at 2026 base
17,May,2026,39000,baseline,Wedding season,Modest wedding-season elevation; +5% YoY relative to May 2025
18,June,2026,36000,baseline,Monsoon dip,Monsoon trough begins; ~6% below 2026 annual mean — consistent with prior year pattern
19,July,2026,35400,baseline,Monsoon dip (trough),Lowest month of 2026; mirrors July 2025 trough at +5% YoY
20,August,2026,36800,baseline,Monsoon dip (exit),Monsoon exit; partial recovery before festive build — +5% YoY vs Aug 2025
21,September,2026,39000,baseline,Pre-festive build,Returns to 2026 base mean; mirrors September 2025 pattern
22,October,2026,42400,festive,Navratri / Dasara,Festive cycle 2 opens; +5% YoY applied to Oct 2025 festive peak
23,November,2026,43600,festive,Diwali,Peak demand month of entire series; Diwali cycle 2 at +5% YoY vs Nov 2025
24,December,2026,39600,baseline,Year-end / post-Diwali,Year-end dealer push; +5% YoY relative to Dec 2025
25,January,2027,41000,fulfilment_only,Series close,Final period; demand recorded for fulfilment accounting only — not used in agent ordering decisions
